Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Success_ByTDLogin,Chrome 104.0.5112.81,Tes Login pakai data login excel,,2022-08-19 10:32:25,2022-08-19 10:36:16,3m - 50.802s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 10:32:25,2022-08-19 10:33:53,1m - 27.355s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 10:32:26,2022-08-19 10:32:31,5.369s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 10:32:31,2022-08-19 10:32:50,18.800s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 10:32:50,2022-08-19 10:32:51,0.951s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 10:32:51,2022-08-19 10:32:52,0.881s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 10:32:52,2022-08-19 10:33:19,26.584s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 10:33:19,2022-08-19 10:33:19,0.179s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 10:33:19,2022-08-19 10:33:50,31.788s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 10:33:50,2022-08-19 10:33:52,1.637s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 10:33:52,2022-08-19 10:33:53,0.737s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 10:33:53,2022-08-19 10:35:04,1m - 11.401s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 10:33:53,2022-08-19 10:33:54,1.532s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 10:33:54,2022-08-19 10:33:56,1.049s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 10:33:56,2022-08-19 10:33:56,0.820s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 10:33:56,2022-08-19 10:33:57,0.759s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 10:33:57,2022-08-19 10:34:00,2.509s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 10:34:00,2022-08-19 10:34:00,0.278s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 10:34:00,2022-08-19 10:34:32,31.841s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 10:34:32,2022-08-19 10:35:04,31.844s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 10:35:04,2022-08-19 10:35:04,0.741s,PASSED
,,,,,,,
Test Cases/TC_Login_Success,Chrome 104.0.5112.81,Login Sukses,,2022-08-19 10:35:04,2022-08-19 10:36:16,1m - 11.405s,PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-19 10:35:04,2022-08-19 10:35:06,1.825s,PASSED
"navigateToUrl(""http://demokoperasi.invelli.com/general/adminlogin/"")",Chrome 104.0.5112.81,,,2022-08-19 10:35:06,2022-08-19 10:35:07,1.120s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_username""), username)",Chrome 104.0.5112.81,,,2022-08-19 10:35:07,2022-08-19 10:35:08,0.862s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Sign In_password""), password)",Chrome 104.0.5112.81,,,2022-08-19 10:35:08,2022-08-19 10:35:09,0.765s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 104.0.5112.81,,,2022-08-19 10:35:09,2022-08-19 10:35:11,2.225s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-19 10:35:11,2022-08-19 10:35:11,0.154s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_- Invelli Microfinance System/span_Root""))",Chrome 104.0.5112.81,,,2022-08-19 10:35:11,2022-08-19 10:35:43,31.734s,PASSED
"click(findTestObject(""Object Repository/Page_- Invelli Microfinance System/a_Log Out""))",Chrome 104.0.5112.81,,,2022-08-19 10:35:43,2022-08-19 10:36:15,31.898s,PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-19 10:36:15,2022-08-19 10:36:16,0.808s,PASSED
